state,city,total_orders,total_customers,total_order_items,total_revenue,total_freight,average_order_value,average_freight_per_order,average_delivery_days,late_orders,late_delivery_rate_percent
SP,sao paulo,15045,14528,17400,1859556.83,248403.34,123.6,16.51,8.07,715,4.75
RJ,rio de janeiro,6601,6361,7592,955573.97,156158.24,144.76,23.66,14.76,706,10.7
MG,belo horizonte,2697,2606,3087,346039.04,59911.47,128.31,22.21,11.1,137,5.08
DF,brasilia,2071,2013,2341,295814.72,49384.33,142.84,23.85,12.97,118,5.7
PR,curitiba,1489,1434,1727,205999.33,32460.39,138.35,21.8,10.46,59,3.96
SP,campinas,1406,1363,1626,184657.87,24345.03,131.34,17.32,9.83,119,8.46
RS,porto alegre,1341,1291,1572,182140.55,32471.29,135.82,24.21,15.98,136,10.14
BA,salvador,1188,1154,1358,173273.05,34440.25,145.85,28.99,19.35,174,14.65
SP,guarulhos,1143,1110,1293,138897.2,18718.33,121.52,16.38,8.0,48,4.2
RJ,niteroi,825,788,958,115890.26,19557.7,140.47,23.71,14.61,96,11.64
SP,sao bernardo do campo,911,881,1041,102514.23,14270.35,112.53,15.66,8.09,49,5.38
SP,santos,700,680,814,98349.4,12820.71,140.5,18.32,9.21,47,6.71
GO,goiania,660,641,784,96547.85,16753.44,146.28,25.38,15.55,64,9.7
CE,fortaleza,618,609,694,93269.67,19681.88,150.92,31.85,20.63,94,15.21
SP,santo andre,777,750,872,89380.83,12391.8,115.03,15.95,7.86,21,2.7
PE,recife,593,571,656,85186.33,19609.17,143.65,33.07,18.45,70,11.8
SC,florianopolis,556,535,649,84043.85,13809.31,151.16,24.84,15.06,55,9.89
SP,osasco,724,697,831,80820.34,11628.34,111.63,16.06,7.7,30,4.14
SP,jundiai,549,532,642,80398.04,9915.84,146.44,18.06,8.97,24,4.37
PA,belem,428,418,474,78002.75,14916.51,182.25,34.85,21.92,38,8.88
SP,sao jose dos campos,667,644,758,75425.31,11063.19,113.08,16.59,8.55,26,3.9
SP,sorocaba,609,588,688,74638.18,10415.14,122.56,17.1,7.82,13,2.13
SP,ribeirao preto,499,479,571,64672.27,9528.65,129.6,19.1,9.67,17,3.41
MG,juiz de fora,423,412,470,64456.78,10394.67,152.38,24.57,12.47,22,5.2
RJ,nova iguacu,423,415,487,58217.83,10252.27,137.63,24.24,14.06,51,12.06
MS,campo grande,312,308,357,56513.68,8245.15,181.13,26.43,14.82,30,9.62
ES,vitoria,373,360,419,52038.6,9404.96,139.51,25.21,14.24,35,9.38
PB,joao pessoa,245,234,289,51502.15,9615.66,210.21,39.25,20.48,27,11.02
RJ,sao goncalo,385,377,421,50833.27,8546.82,132.03,22.2,18.81,83,21.56
SP,mogi das cruzes,374,362,435,50295.68,6472.4,134.48,17.31,7.65,10,2.67
MA,sao luis,335,326,377,50141.82,12009.47,149.68,35.85,20.5,65,19.4
SP,barueri,419,406,469,49995.71,7081.39,119.32,16.9,7.64,16,3.82
SP,piracicaba,356,349,404,49173.47,6434.23,138.13,18.07,7.77,7,1.97
PI,teresina,271,261,293,49028.57,10102.68,180.92,37.28,20.92,51,18.82
MG,contagem,415,406,476,48561.04,8644.27,117.01,20.83,11.19,19,4.58
MG,uberlandia,367,360,403,47560.57,8131.35,129.59,22.16,11.64,11,3.0
ES,vila velha,326,317,359,46895.83,7755.66,143.85,23.79,17.1,45,13.8
SP,sao jose do rio preto,329,324,376,46669.73,6626.87,141.85,20.14,9.46,11,3.34
PR,londrina,298,290,328,45867.97,6557.09,153.92,22.0,11.27,10,3.36
AL,maceio,236,233,250,43592.59,8029.07,184.71,34.02,25.7,64,27.12
SP,maua,317,308,343,43360.96,4757.03,136.79,15.01,8.77,22,6.94
SP,bauru,263,257,289,38903.69,5387.21,147.92,20.48,9.21,7,2.66
SP,praia grande,296,278,340,38303.17,4968.36,129.4,16.79,10.61,24,8.11
MT,cuiaba,243,237,292,38178.84,7679.24,157.11,31.6,18.34,16,6.58
PR,maringa,260,251,310,37299.2,6964.68,143.46,26.79,12.19,13,5.0
SP,indaiatuba,274,263,324,36862.6,4450.82,134.54,16.24,8.49,6,2.19
RS,caxias do sul,220,210,246,36033.19,5525.5,163.79,25.12,15.8,12,5.45
RN,natal,203,199,228,35751.38,6873.71,176.12,33.86,18.29,21,10.34
ES,serra,278,272,307,35184.07,6371.0,126.56,22.92,17.24,38,13.67
MG,divinopolis,132,131,161,34932.97,3437.46,264.64,26.04,11.18,1,0.76
SP,taboao da serra,284,274,322,34740.69,4559.98,122.33,16.06,6.93,8,2.82
SE,aracaju,213,209,236,34485.94,7861.5,161.91,36.91,20.71,29,13.62
SC,joinville,257,254,284,34399.99,6100.48,133.85,23.74,15.21,22,8.56
SP,marilia,194,193,207,33664.13,3555.75,173.53,18.33,9.9,6,3.09
RJ,volta redonda,227,221,250,33329.1,5277.43,146.82,23.25,16.54,34,14.98
RJ,duque de caxias,250,247,289,32769.23,5637.01,131.08,22.55,15.35,31,12.4
RJ,campos dos goytacazes,232,229,251,32413.58,5324.7,139.71,22.95,14.86,28,12.07
RJ,petropolis,234,216,278,32247.68,6232.46,137.81,26.63,15.21,27,11.54
SP,sao caetano do sul,272,262,302,32159.8,4263.38,118.23,15.67,8.1,5,1.84
SP,carapicuiba,316,309,366,31769.85,4931.26,100.54,15.61,7.52,15,4.75
RS,santa maria,193,187,228,31644.82,5440.74,163.96,28.19,16.93,13,6.74
RJ,macae,228,222,261,30525.43,6074.3,133.88,26.64,17.28,36,15.79
SP,cotia,242,236,267,29713.74,3951.53,122.78,16.33,7.2,5,2.07
SP,sao carlos,230,220,263,29322.12,4375.64,127.49,19.02,9.84,6,2.61
SP,taubate,260,257,296,28887.1,4830.62,111.1,18.58,10.19,6,2.31
SP,guaruja,217,207,251,28878.39,3765.63,133.08,17.35,8.52,8,3.69
SP,diadema,276,265,322,28839.98,4465.03,104.49,16.18,8.57,18,6.52
MG,betim,196,195,216,27863.71,4237.8,142.16,21.62,12.08,11,5.61
RJ,nova friburgo,142,135,155,27345.1,3370.3,192.57,23.73,19.64,28,19.72
MG,uberaba,186,177,207,27338.65,4542.93,146.98,24.42,11.18,5,2.69
BA,feira de santana,181,173,193,26694.2,4732.8,147.48,26.15,16.47,11,6.08
RS,canoas,205,197,229,26470.14,5132.22,129.12,25.04,16.95,18,8.78
MG,montes claros,207,202,234,25967.15,4696.1,125.45,22.69,11.09,6,2.9
SP,presidente prudente,157,155,178,25517.33,3645.0,162.53,23.22,11.09,10,6.37
SP,suzano,230,218,254,24549.9,3609.56,106.74,15.69,8.09,10,4.35
SP,americana,216,212,257,24462.18,3680.64,113.25,17.04,7.81,13,6.02
SC,blumenau,181,176,207,24240.08,4385.69,133.92,24.23,12.41,9,4.97
PR,cascavel,146,144,175,23275.82,3872.56,159.42,26.52,11.69,9,6.16
SP,santana de parnaiba,178,172,205,23029.75,2836.27,129.38,15.93,7.2,8,4.49
SP,limeira,186,177,220,22804.26,3256.47,122.6,17.51,8.42,7,3.76
RS,pelotas,183,178,207,22257.23,4952.11,121.62,27.06,17.37,12,6.56
SP,valinhos,181,176,214,22101.75,3089.23,122.11,17.07,8.27,7,3.87
SP,franca,154,153,192,22015.55,3259.71,142.96,21.17,10.38,6,3.9
RO,porto velho,108,100,122,21890.55,4138.05,202.69,38.32,19.19,5,4.63
MG,ipatinga,169,166,200,21797.42,4161.14,128.98,24.62,11.85,8,4.73
MG,pouso alegre,128,122,145,21181.45,2786.52,165.48,21.77,12.09,10,7.81
PE,jaboatao dos guararapes,131,130,140,21143.17,4139.17,161.4,31.6,15.81,7,5.34
SP,sumare,177,172,201,21135.11,3071.88,119.41,17.36,9.94,18,10.17
MG,nova lima,96,93,102,20815.15,2297.03,216.82,23.93,12.32,6,6.25
AM,manaus,137,132,154,20451.56,5091.24,149.28,37.16,26.46,3,2.19
SP,atibaia,154,149,180,20343.73,2840.14,132.1,18.44,8.75,8,5.19
SC,sao jose,167,164,197,20251.46,3978.97,121.27,23.83,15.16,23,13.77
SP,braganca paulista,144,140,160,20127.62,2555.61,139.78,17.75,7.5,3,2.08
SP,embu das artes,157,154,169,19998.78,2402.14,127.38,15.3,8.72,9,5.73
SP,araraquara,150,145,176,19871.85,2778.09,132.48,18.52,9.47,7,4.67
SP,rio claro,151,146,179,19555.58,2954.86,129.51,19.57,8.35,4,2.65
RJ,rio das ostras,130,128,150,18998.99,3355.97,146.15,25.82,19.31,23,17.69
SP,sao vicente,157,155,172,18969.19,2493.26,120.82,15.88,10.83,16,10.19
SP,itaquaquecetuba,168,164,177,18889.92,2531.91,112.44,15.07,9.05,16,9.52
RJ,barra mansa,119,117,133,18698.98,2812.41,157.13,23.63,15.54,17,14.29
SC,itajai,119,117,127,18698.57,2758.36,157.13,23.18,14.43,12,10.08
RJ,angra dos reis,83,80,105,18693.24,2728.09,225.22,32.87,16.62,12,14.46
RS,gravatai,111,107,118,18591.02,2540.62,167.49,22.89,14.28,1,0.9
PR,ponta grossa,141,133,162,18573.48,3213.43,131.73,22.79,12.05,7,4.96
SP,itapevi,170,169,195,18348.91,2802.5,107.93,16.49,8.02,6,3.53
MG,governador valadares,134,133,147,18106.35,3369.38,135.12,25.14,11.57,4,2.99
SP,jacarei,189,185,208,18055.78,2883.98,95.53,15.26,8.92,8,4.23
RJ,sao joao de meriti,124,121,147,17777.56,3005.16,143.37,24.24,17.87,20,16.13
PA,ananindeua,85,82,94,17709.44,3068.22,208.35,36.1,22.71,10,11.76
RS,novo hamburgo,121,118,147,17547.13,2980.47,145.02,24.63,14.28,8,6.61
TO,palmas,88,87,108,17420.62,3925.21,197.96,44.6,15.99,11,12.5
PB,campina grande,67,67,74,17410.54,5246.81,259.86,78.31,18.2,7,10.45
MG,sete lagoas,126,121,138,17263.35,2910.54,137.01,23.1,13.19,5,3.97
GO,anapolis,111,108,126,17129.88,2899.95,154.32,26.13,16.58,6,5.41
RJ,teresopolis,119,114,129,17115.29,3151.07,143.83,26.48,15.48,15,12.61
SP,botucatu,100,98,112,17104.51,1860.62,171.05,18.61,10.08,3,3.0
RJ,araruama,74,72,86,16889.31,1947.46,228.23,26.32,17.7,8,10.81
MG,patos de minas,99,96,103,16726.98,2539.81,168.96,25.65,12.28,6,6.06
SC,balneario camboriu,97,95,114,16609.33,2361.75,171.23,24.35,14.41,14,14.43
SP,aracatuba,138,133,162,16589.39,2671.88,120.21,19.36,10.12,1,0.72
SP,paulinia,127,122,142,16475.05,2070.18,129.72,16.3,9.95,5,3.94
ES,cariacica,135,132,154,16386.68,2966.4,121.38,21.97,14.84,13,9.63
BA,vitoria da conquista,88,87,103,16234.2,3018.01,184.48,34.3,16.53,5,5.68
SP,hortolandia,142,140,156,16225.15,2187.85,114.26,15.41,12.08,22,15.49
RS,rio grande,121,118,129,16189.98,2878.91,133.8,23.79,16.73,15,12.4
MG,vicosa,87,85,104,16052.35,2193.3,184.51,25.21,11.24,2,2.3
RJ,cabo frio,113,112,130,16016.52,2795.66,141.74,24.74,18.86,24,21.24
ES,cachoeiro de itapemirim,121,117,135,15871.63,3299.79,131.17,27.27,13.82,11,9.09
MG,pocos de caldas,116,111,145,15620.68,2688.69,134.66,23.18,12.52,9,7.76
SP,ferraz de vasconcelos,109,105,125,15549.53,1836.12,142.66,16.85,8.46,6,5.5
RJ,marica,133,130,149,15216.26,2803.91,114.41,21.08,16.64,19,14.29
RS,passo fundo,112,111,128,15163.71,2925.1,135.39,26.12,14.14,5,4.46
SC,chapeco,101,97,124,15106.11,2393.97,149.57,23.7,16.45,14,13.86
PR,sao jose dos pinhais,130,125,142,14899.05,2622.94,114.61,20.18,10.71,5,3.85
SP,guaratingueta,96,95,105,14751.12,1842.08,153.66,19.19,11.95,6,6.25
SP,birigui,78,75,95,14611.34,2015.49,187.32,25.84,10.0,3,3.85
RJ,mage,106,101,128,14316.76,2434.3,135.06,22.97,13.21,3,2.83
GO,aparecida de goiania,105,100,117,14203.98,2354.58,135.28,22.42,14.91,6,5.71
MG,varginha,88,83,98,13933.1,2075.3,158.33,23.58,11.63,3,3.41
AC,rio branco,69,65,77,13852.34,2970.84,200.76,43.06,21.03,3,4.35
PE,petrolina,62,62,64,13759.1,2493.92,221.92,40.22,16.5,3,4.84
SC,criciuma,91,91,112,13725.08,2329.74,150.83,25.6,14.76,9,9.89
MG,itajuba,92,89,106,13667.8,2324.56,148.56,25.27,11.48,1,1.09
RJ,resende,115,113,135,13390.35,2909.93,116.44,25.3,16.66,18,15.65
